0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:42:51 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:42:51 +0900] "GET /Lecture-web/html/img/simpson.gif HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:42:51 +0900] "GET /Lecture-web/html/img/toby.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:43:26 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:43:26 +0900] "GET /Lecture-web/html/img/toby.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:43:26 +0900] "GET /Lecture-web/css/img/simpson.gif HTTP/1.1" 200 82921
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:43:44 +0900] "GET /Lecture-web/html/exam11.html HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:43:44 +0900] "GET /Lecture-web/css/img/toby.gif HTTP/1.1" 200 3800860
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:44:33 +0900] "GET /Lecture-web/css/exam11.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:47:32 +0900] "GET /Lecture-web/css/img/exam12.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:49:46 +0900] "GET /Lecture-web/css/img/exam12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:09:50:26 +0900] "GET /Lecture-web/css/img/exam12.html HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:22:28 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:22:40 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:24:15 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:25:02 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:25:42 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:26:43 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:28:52 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:29:52 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:23 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:27 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:27 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:27 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:27 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:27 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:28 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:28 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:28 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:28 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:28 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:29 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:29 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:29 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:29 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:29 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:39 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:54 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:54 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:54 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:54 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:54 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:55 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:31:55 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:33:16 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:33:30 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:34:55 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:36:17 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:36:24 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:37:21 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:39:52 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:41:27 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:41:41 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:42:32 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:43:33 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:43:46 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:43:55 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:22 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:46 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:53 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:53 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:53 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:54 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:54 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:44:54 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:45:07 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:45:23 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:52:51 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:53:05 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:54:24 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:56:27 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:57:20 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1640
0:0:0:0:0:0:0:1 - - [11/Jun/2021:11:58:19 +0900] "GET /Lecture-web/css/img/exam13.html HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:06:53 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:07:13 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:07:45 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:08:37 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:08:56 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:09:16 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:09:33 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:11:08 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:11:40 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:13:55 +0900] "GET /Lecture-web/css/exam14.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:52:06 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:52:58 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:54:51 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:55:16 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:57:15 +0900] "GET /Lecture-web/css/exam04.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Jun/2021:12:59:58 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:02:04 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:04:08 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:04:42 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:04:52 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:05:09 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:05:24 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:16:54 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:17:47 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1009
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:18:03 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:18:52 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:20:39 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:21:04 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:21:18 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:24:11 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:26:38 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:28:01 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1047
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:28:31 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:29:37 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:30:09 +0900] "GET /Lecture-web/css/exam06.html HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:30:59 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:32:02 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:36:22 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:37:04 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:37:11 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:38:17 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:40:48 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:42:36 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:42:42 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:44:39 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:45:26 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:46:33 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:46:55 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:48:54 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:51:09 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:51:40 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:52:23 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [11/Jun/2021:13:56:12 +0900] "GET /Lecture-web/javascript/basic/exam01.html HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:00:52 +0900] "GET /Lecture-web/javascript/basic/exam01.html HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:03:00 +0900] "GET /Lecture-web/javascript/basic/exam01.html HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:04:26 +0900] "GET /Lecture-web/javascript/basic/exam01.html HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:05:56 +0900] "GET /Lecture-web/css/calc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:06:53 +0900] "GET /Lecture-web/javascript/basic/exam01.html HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:11:07 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:11:24 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:12:01 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:15:11 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:15:43 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:16:49 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:17:12 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:19:04 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:19:18 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:20:22 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:20:42 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:21:06 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:21:59 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:22:18 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:22:27 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:26:28 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:27:57 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [11/Jun/2021:14:30:13 +0900] "GET /Lecture-web/javascript/basic/exam02.html HTTP/1.1" 200 559
